sentence,label,label_idx
Do I need to continue safety measures after getting the vaccine?,"Even after getting my vaccine dose, do I continue adhering to preventive protocols?",1
Do I need to continue safety measures after getting the vaccine?,Should I maintain safety precautions after my vaccination?,1
Do I need to continue safety measures after getting the vaccine?,"Even though I have been vaccinated, should I still adhere to public health measures?",1
Do I need to continue safety measures after getting the vaccine?,Do I have to keep washing my hands regularly and wearing a mask even after vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Do safety methods persist after vaccination or can I stop?,1
Do I need to continue safety measures after getting the vaccine?,"If I get my vaccine, do I still need to follow COVID-19 guidelines?",1
Do I need to continue safety measures after getting the vaccine?,Is it necessary to maintain COVID-19 safety protocols after getting the shot?,1
Do I need to continue safety measures after getting the vaccine?,Can I stop wearing masks and sanitizing constantly after I’m fully vaccinated?,1
Do I need to continue safety measures after getting the vaccine?,Should I keep safe distancing rules after getting the injection?,1
Do I need to continue safety measures after getting the vaccine?,Am I expected to adhere to the COVID-19 safety guidelines even after the vaccine?,1
Do I need to continue safety measures after getting the vaccine?,Do I require to practice safety guidelines after getting the virus shot?,1
Do I need to continue safety measures after getting the vaccine?,"After vaccinating, should the safety measures be continued?",1
Do I need to continue safety measures after getting the vaccine?,Am I supposed to stick with the safety protocols after the vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Does being vaccinated mean I can stop following the COVID safety procedures?,1
Do I need to continue safety measures after getting the vaccine?,"Even after the vaccine, is mask wearing and social distancing a must?",1
Do I need to continue safety measures after getting the vaccine?,Are there any safety measures that I need to follow even after vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Is there a time when I can put away masks and sanitizers after getting the vaccine?,1
Do I need to continue safety measures after getting the vaccine?,How long after vaccination should I keep following the safety measures?,1
Do I need to continue safety measures after getting the vaccine?,"Having received my vaccine, do I have to maintain safety precautions as before?",1
Do I need to continue safety measures after getting the vaccine?,"After vaccination, do I have to remain masked and socially distant?",1
Do I need to continue safety measures after getting the vaccine?,Can I bid goodbye to social distancing and mask-wearing once I'm vaccinated?,1
Do I need to continue safety measures after getting the vaccine?,Is there a need to maintain standard safety procedures post vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Do I keep wearing my mask and following health recommendations post-vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Do the same precautions apply even after I've taken the vaccine?,1
Do I need to continue safety measures after getting the vaccine?,Is it necessary to keep following public health instructions after getting vaccinated?,1
Do I need to continue safety measures after getting the vaccine?,Will I have to keep abiding by safety measures after my dose?,1
Do I need to continue safety measures after getting the vaccine?,Do I have to maintain protective methods even after vaccination?,1
Do I need to continue safety measures after getting the vaccine?,"After COVID-19 vaccination, is it necessary to maintain safety habits?",1
Do I need to continue safety measures after getting the vaccine?,Is it essential to safeguard myself against COVID-19 even post vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Should safety regulations still be followed after immunization?,1
Do I need to continue safety measures after getting the vaccine?,Do the guidelines for safety apply even after vaccination?,1
Do I need to continue safety measures after getting the vaccine?,"Despite getting the jab, do I need to maintain preventative practices?",1
Do I need to continue safety measures after getting the vaccine?,Do I need to enforce regular COVID safety routines even after I have been vaccinated?,1
Do I need to continue safety measures after getting the vaccine?,Do I have to comply with safety measures after immunization?,1
Do I need to continue safety measures after getting the vaccine?,Should I take customary precautions even after receiving my COVID-19 vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Should I continue following COVID safety protocol even if inoculated?,1
Do I need to continue safety measures after getting the vaccine?,Will I need to observe safety guidelines even after receiving the COVID-19 vaccine?,1
Do I need to continue safety measures after getting the vaccine?,Should I continue to follow the safety guidelines post-vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Do I still need to use protective gears after getting the vaccine?,1
Do I need to continue safety measures after getting the vaccine?,Do I continue with precautionary actions even after getting vaccinated?,1
Do I need to continue safety measures after getting the vaccine?,Should I follow safety guidelines even post-vaccine?,1
Do I need to continue safety measures after getting the vaccine?,Should safety norms be adhered to even after getting vaccinated?,1
Do I need to continue safety measures after getting the vaccine?,"After being vaccinated, am I exempted from practicing safety measures?",1
Do I need to continue safety measures after getting the vaccine?,"Post getting a jab, do I need to continue maintaining safety?",1
Do I need to continue safety measures after getting the vaccine?,Do I need to continue practicing safety measures even after the vaccination?,1
Do I need to continue safety measures after getting the vaccine?,"Post-vaccination, do the safety norms still hold?",1
Do I need to continue safety measures after getting the vaccine?,Do safety procedures remain mandatory after vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Should COVID safety steps be carried out even post-immunization?,1
Do I need to continue safety measures after getting the vaccine?,"Even post-vaccine, do I have to continue with the safety practices?",1
Do I need to continue safety measures after getting the vaccine?,Can I stop following the safety guidelines post vaccination?,1
Do I need to continue safety measures after getting the vaccine?,Will the safety standards still apply to me once I'm vaccinated?,1
Do I need to continue safety measures after getting the vaccine?,"After immunization, is it necessary to keep the safety precautions intact?",1
Can I meet in groups after I'm vaccinated?,Is it now permissible to engage in group settings when I have been vaccinated?,101
Can I meet in groups after I'm vaccinated?,Is it safe for me to be part of social gatherings after receiving my vaccine?,101
Can I meet in groups after I'm vaccinated?,How secure is it to be in gatherings once immunized?,101
Can I meet in groups after I'm vaccinated?,What's the safety level of mixing with groups post-vaccination?,101
Can I meet in groups after I'm vaccinated?,"In the wake of the vaccination, am I safe to meet in groups?",101
Can I meet in groups after I'm vaccinated?,Is it okay to participate in group interactions after I've had the vaccine?,101
Can I meet in groups after I'm vaccinated?,I've been vaccinated. Can I now get together in groups?,101
Can I meet in groups after I'm vaccinated?,"After finishing my vaccination, am I allowed to mingle in groups?",101
Can I meet in groups after I'm vaccinated?,Can I hang around in crowds now that I've gotten my vaccine?,101
Can I meet in groups after I'm vaccinated?,Do guidelines allow me to be in groups after getting vaccinated?,101
Can I meet in groups after I'm vaccinated?,"After being immunized, am I able to socialize in groups?",101
Can I meet in groups after I'm vaccinated?,Can I confidently attend social gatherings post-vaccination?,101
